generation,population_size,accepted_trials,rolled_back_trials,acceptance_rate,best_conflict_pairs,best_conflict_points,best_fitness,mean_conflict_pairs,mean_conflict_points,best_conflict_lexicographic_pairs,best_conflict_lexicographic_points,adm_learning_samples,rollback_due_to_pair_increase,rollback_due_to_point_increase,rollback_due_to_fitness_worse,new_pair_trials_rejected,rejected_lower_risk_equal_conflicts,rollback_due_to_infeasible_route,exact_survivors,moved_same_pair,new_conflict_pairs,new_conflict_points,resolved_original_conflicts
184,50,1,49,0.02,13,15,666966.5693593912,20.38,36.34,13,15,1,30,0,0,30,0,19,6,0,7,9,46
185,50,0,50,0.0,13,15,665686.6396689671,20.38,36.34,13,15,0,16,0,0,16,0,34,6,0,7,9,46
186,50,1,49,0.02,13,15,664378.734612768,20.36,36.2,13,15,1,20,0,0,20,0,29,6,0,7,9,46
187,50,1,49,0.02,13,15,663042.3980840625,20.36,35.94,13,15,1,19,1,0,20,0,29,6,0,7,9,46
188,50,0,50,0.0,13,15,661677.1690453078,20.36,35.94,13,15,0,16,0,0,16,0,34,6,0,7,9,46
189,50,1,49,0.02,13,15,660282.5815016384,20.28,36.18,13,15,1,20,2,0,22,0,27,6,0,7,9,46
190,50,2,48,0.04,13,15,658858.1644743588,20.2,36.58,13,15,2,18,0,1,19,1,29,6,0,7,9,46
191,50,1,49,0.02,13,15,657403.4419744309,20.2,36.56,13,15,1,22,0,0,22,0,27,6,0,7,9,46
192,50,3,47,0.06,14,14,614547.5650503363,20.04,36.66,13,15,3,19,0,0,19,0,28,7,0,7,7,45
193,50,3,47,0.06,14,14,613127.0818289446,19.9,36.3,13,15,3,20,0,0,20,0,27,7,0,7,7,45
194,50,1,49,0.02,14,14,611676.8514782725,19.86,36.02,13,15,1,15,0,0,15,0,34,7,0,7,7,45
195,50,3,47,0.06,14,14,610196.4092119355,19.7,35.78,13,15,3,21,0,1,22,1,25,7,0,7,7,45
196,50,3,47,0.06,14,14,608685.285427174,19.56,34.84,13,15,3,26,0,0,26,0,21,7,0,7,7,45
197,50,5,45,0.1,14,14,607143.0056800265,19.4,35.08,12,34,5,19,0,0,19,0,26,7,0,7,7,45
198,50,3,47,0.06,14,14,605569.090660504,19.36,34.62,12,34,3,26,1,0,27,0,20,7,0,7,7,45
199,50,6,44,0.12,13,13,561159.9920091117,19.2,34.42,12,34,6,25,0,0,25,0,19,7,0,6,6,45
200,50,8,42,0.16,13,13,559637.6727191679,19.08,34.12,12,34,8,19,0,0,19,0,23,7,0,6,6,45
