run_id,traffic_seed,grid_x,grid_y,grid_z,distinct_flight_count
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,21,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,21,1,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,22,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,22,1,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,23,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,23,1,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,24,1,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,25,1,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,26,1,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,27,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,27,1,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,28,0,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,28,1,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,29,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,29,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,30,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,31,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,31,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,32,2,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,33,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,34,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,35,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,35,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,36,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,36,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,37,2,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,38,2,5
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,39,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,40,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,43,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,44,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,45,0,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,46,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,47,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,48,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,49,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,50,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,53,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,54,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,55,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,56,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,7,2,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,7,3,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,7,5,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,7,6,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,7,9,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,7,10,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,7,11,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,7,13,2,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,7,14,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,7,15,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,7,17,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,7,19,0,4
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,7,20,2,1
