global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,conflict_pairs,delta
110,stage1,110,4591103.208240435,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.99496715625
111,stage1,111,4590029.169143774,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.9947341932653125
112,stage1,112,4588915.720654055,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.99449268224
113,stage1,113,4587761.788057274,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.9942423900646875
114,stage1,114,4586566.277275988,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.99398307943
115,stage1,115,4585328.074696425,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.9937145087890625
116,stage1,116,4584046.046995607,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.99343643232
117,stage1,117,4582719.040968447,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.9931485998884375
118,stage1,118,4581345.883354874,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.99285075701
119,stage1,119,4579925.3806669405,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.9925426448128125
120,stage1,120,4578456.3190159295,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.992224
121,stage1,121,4576937.463939479,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.9918945548121875
122,stage1,122,4575367.56022868,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.99155403699
123,stage1,123,4573745.3317552,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.9912021697365625
124,stage1,124,4572069.481298388,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.99083867168
125,stage1,125,4570338.690372392,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.9904632568359375
126,stage1,126,4568551.619053263,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.99007563457
127,stage1,127,4565158.191162475,6690.996911166593,58785.130542616345,1131.8928205415793,98,6,0,58,0.9896755095603125
128,stage1,128,4560116.412913883,8346.344999693914,58743.62122441438,1131.8928205415793,98,6,0,58,0.98926258176
