run_id,conflict_id,plan_a,plan_b,cell_x,cell_y,cell_z,P_schedule,P_speed,P_reroute,sampled_strategy,actor_gene,selected_actor,stage2_generation,record_type
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,64,52,77,22,20,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,reroute,1.5850736359964017,77,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,65,52,77,21,21,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.5722314424656005,77,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,66,52,77,20,21,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.5591945977954538,77,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,67,52,77,18,21,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,reroute,1.5459631661126707,77,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,68,52,77,17,21,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,speed,1.5325372125011114,77,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,69,52,77,16,21,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.5189168030014457,77,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,70,52,77,13,21,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.505102004610876,77,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,71,52,77,12,21,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.4910928852827396,77,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,72,37,44,27,47,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,speed,1.4768895139262739,44,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,73,78,97,49,15,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,reroute,1.4624919604061688,97,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,74,40,65,32,32,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,speed,1.44790029554229,65,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,75,70,87,29,28,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,reroute,1.433114591109323,87,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,76,43,44,27,30,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,reroute,1.4181349198364046,44,1,generation_best
