run_id,grid_x,grid_y,grid_z,distinct_flight_count
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,16,0,3
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,17,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,20,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,21,1,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,22,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,23,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,23,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,24,2,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,25,1,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,26,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,26,1,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,27,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,27,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,29,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,29,1,1
